Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
4,0,2,2,6,2,1,1,0,1,0,1,131160,0.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0
2,1,1,1,10,1,1,2,0,1,6,2,41890,0.0,23,1,5.0,3,5,1,4,2,4,3.0,2.0,4.0
2,0,1,1,17,4,4,3,1,4,7,1,193280,0.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0
2,0,0,1,2,5,1,4,1,3,1,1,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0
2,0,2,1,10,1,3,5,1,1,7,2,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0
3,0,2,1,8,3,1,6,0,4,5,1,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0
1,1,2,1,11,2,3,7,1,2,7,2,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0
1,0,2,1,18,3,1,8,1,2,7,1,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0
2,0,2,1,1,3,1,9,1,3,2,1,20440,0.0,21,0,9.0,2,9,7,8,3,4,2.0,4.0,3.0
1,0,0,1,7,4,3,10,0,4,2,0,134640,0.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0
3,0,2,1,17,2,3,11,1,2,2,1,79910,0.0,13,2,20.0,2,20,4,10,2,3,3.0,4.0,3.0
2,0,2,1,28,1,1,12,1,1,2,1,33770,0.0,12,2,15.0,2,15,10,11,3,3,,4.0,3.0
4,0,2,1,14,4,1,13,0,1,7,2,55380,0.0,17,0,36.0,2,36,4,13,3,3,4.0,1.0,3.0
3,1,0,1,1,1,3,14,1,1,6,1,57620,0.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0
1,0,2,1,1,3,1,15,1,1,4,1,25920,0.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0
2,0,2,1,1,3,1,16,1,2,0,1,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0
1,0,2,1,3,2,1,17,1,1,2,2,42130,0.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0
2,0,0,1,1,3,3,18,1,2,7,0,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0
2,0,2,2,7,4,1,19,1,1,8,0,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0
2,0,2,1,8,3,1,20,0,1,3,0,68700,0.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0
